Event_ID	Event_Type	GeneID	geneSymbol	ID	Gene_Event_ID	Event_Group	JuncType	comparison	IncFormLen	SkipFormLen	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncLevel1	IncLevel2	IncLevelDifference	IJC_SAMPLE_1_sum	SJC_SAMPLE_1_sum	IJC_SAMPLE_2_sum	SJC_SAMPLE_2_sum	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	EventTotalReadCount	PSI_SAMPLE_1	PSI_SAMPLE_2	DSE_Category
Event_1	a3ss_jc	ENSG00000185917	SETD4	21	1	Alternative 5' Splice Site	JC	Control_vs_shRYBP	198	149	12,4,4	10,0,6	12,5,6	0,0,0	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	20	16	23	0	36	23	59	0.555555555555556	1	Common to shRING1A.B and shRYBP
Event_1	a3ss_jcec	ENSG00000185917	SETD4	21	1	Alternative 5' Splice Site	JCEC	Control_vs_shRYBP	198	149	12,4,4	10,0,6	12,5,6	0,0,0	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	20	16	23	0	36	23	59	0.555555555555556	1	Common to shRING1A.B and shRYBP
Event_1	a3ss_jc	ENSG00000185917	SETD4	20	1	Alternative 5' Splice Site	JC	Control_vs_shRING1A.B	198	149	12,4,4	10,0,6	6,12,13	0,0,0	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	20	16	31	0	36	31	67	0.555555555555556	1	Common to shRING1A.B and shRYBP
Event_1	a3ss_jcec	ENSG00000185917	SETD4	20	1	Alternative 5' Splice Site	JCEC	Control_vs_shRING1A.B	198	149	12,4,4	10,0,6	6,12,13	0,0,0	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	20	16	31	0	36	31	67	0.555555555555556	1	Common to shRING1A.B and shRYBP
Event_10	a3ss_jc	ENSG00000167460	TPM4	453	1	Alternative 5' Splice Site	JC	Control_vs_shRYBP	254	149	26,13,13	3,4,0	2,7,17	0,0,0	0.836,0.656,1.0	1.0,1.0,1.0	-0.169	52	7	26	0	59	26	85	0.88135593220339	1	
Event_10	a3ss_jcec	ENSG00000167460	TPM4	453	1	Alternative 5' Splice Site	JCEC	Control_vs_shRYBP	254	149	26,13,13	3,4,0	2,7,17	0,0,0	0.836,0.656,1.0	1.0,1.0,1.0	-0.169	52	7	26	0	59	26	85	0.88135593220339	1	
Event_10	a3ss_jc	ENSG00000167460	TPM4	459	1	Alternative 5' Splice Site	JC	shRYBP_vs_shRING1A.B	254	149	2,7,17	0,0,0	14,10,24	0,10,4	1.0,1.0,1.0	1.0,0.37,0.779	0.284	26	0	48	14	26	62	88	1	0.774193548387097	
Event_10	a3ss_jcec	ENSG00000167460	TPM4	459	1	Alternative 5' Splice Site	JCEC	shRYBP_vs_shRING1A.B	254	149	2,7,17	0,0,0	14,10,24	0,10,4	1.0,1.0,1.0	1.0,0.37,0.779	0.284	26	0	48	14	26	62	88	1	0.774193548387097	
Event_100	a3ss_jc	ENSG00000141013	GAS8	5765	1	Alternative 5' Splice Site	JC	Control_vs_shRYBP	272	149	13,13,24	63,21,56	10,3,4	48,30,67	0.102,0.253,0.19	0.102,0.052,0.032	0.12	50	140	17	145	190	162	352	0.263157894736842	0.104938271604938	Unique to shRYBP vs Control
Event_100	a3ss_jcec	ENSG00000141013	GAS8	5765	1	Alternative 5' Splice Site	JCEC	Control_vs_shRYBP	272	149	13,13,24	63,21,56	10,3,4	48,30,67	0.102,0.253,0.19	0.102,0.052,0.032	0.12	50	140	17	145	190	162	352	0.263157894736842	0.104938271604938	Unique to shRYBP vs Control
