Event_ID	JuncType	geneSymbol	GeneID	Event_Group	Gene_Event_ID	sample	read_count	max_count	sum_count	DSE_Category
Event_1	JC	SETD4	ENSG00000185917	Alternative 5' Splice Site	1	Control	36	88	124	Common to shRING1A.B and shRYBP
Event_1	JCEC	SETD4	ENSG00000185917	Alternative 5' Splice Site	1	Control	36	88	124	Common to shRING1A.B and shRYBP
Event_1	JC	SETD4	ENSG00000185917	Alternative 5' Splice Site	1	shRYBP	23	23	23	Common to shRING1A.B and shRYBP
Event_1	JCEC	SETD4	ENSG00000185917	Alternative 5' Splice Site	1	shRYBP	23	23	23	Common to shRING1A.B and shRYBP
Event_1	JC	SETD4	ENSG00000185917	Alternative 5' Splice Site	1	shRING1A.B	31	107	138	Common to shRING1A.B and shRYBP
Event_1	JCEC	SETD4	ENSG00000185917	Alternative 5' Splice Site	1	shRING1A.B	31	107	138	Common to shRING1A.B and shRYBP
Event_10	JC	TPM4	ENSG00000167460	Alternative 5' Splice Site	1	Control	59	59	59	
Event_10	JCEC	TPM4	ENSG00000167460	Alternative 5' Splice Site	1	Control	59	59	82	
Event_10	JC	TPM4	ENSG00000167460	Alternative 5' Splice Site	1	shRYBP	26	26	26	
Event_10	JCEC	TPM4	ENSG00000167460	Alternative 5' Splice Site	1	shRYBP	26	26	44	
Event_10	JC	TPM4	ENSG00000167460	Alternative 5' Splice Site	1	shRING1A.B	62	62	62	
Event_10	JCEC	TPM4	ENSG00000167460	Alternative 5' Splice Site	1	shRING1A.B	62	62	99	
Event_100	JC	GAS8	ENSG00000141013	Alternative 5' Splice Site	1	Control	190	190	220	Unique to shRYBP vs Control
Event_100	JCEC	GAS8	ENSG00000141013	Alternative 5' Splice Site	1	Control	190	190	220	Unique to shRYBP vs Control
Event_100	JC	GAS8	ENSG00000141013	Alternative 5' Splice Site	1	shRYBP	162	162	310	Unique to shRYBP vs Control
Event_100	JCEC	GAS8	ENSG00000141013	Alternative 5' Splice Site	1	shRYBP	162	162	310	Unique to shRYBP vs Control
Event_1000	JC	AAK1	ENSG00000115977	Mutually Exclusive Exon	1	Control	31	67	222	Same Direction
Event_1000	JCEC	AAK1	ENSG00000115977	Mutually Exclusive Exon	1	Control	31	67	222	Same Direction
Event_1000	JC	AAK1	ENSG00000115977	Mutually Exclusive Exon	1	shRYBP	19	36	69	Same Direction
Event_1000	JCEC	AAK1	ENSG00000115977	Mutually Exclusive Exon	1	shRYBP	19	36	69	Same Direction
Event_1000	JC	AAK1	ENSG00000115977	Mutually Exclusive Exon	1	shRING1A.B	23	73	121	Same Direction
Event_1000	JCEC	AAK1	ENSG00000115977	Mutually Exclusive Exon	1	shRING1A.B	23	73	121	Same Direction
Event_1001	JC	ZNF341	ENSG00000131061	Mutually Exclusive Exon	1	Control	53	53	53	Unique to shRING1A.B vs Control
Event_1001	JC	ZNF341	ENSG00000131061	Mutually Exclusive Exon	1	shRING1A.B	43	43	43	Unique to shRING1A.B vs Control
Event_1002	JC	AC118553.2	ENSG00000283761	Mutually Exclusive Exon	1	Control	79	79	79	Unique to shRING1A.B vs Control
Event_1002	JC	AC118553.2	ENSG00000283761	Mutually Exclusive Exon	1	shRING1A.B	81	81	81	Unique to shRING1A.B vs Control
Event_1003	JC	TCF7L2	ENSG00000148737	Mutually Exclusive Exon	1	Control	76	76	170	Unique to shRING1A.B vs Control
