Event_ID	Event_Type	ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	comparison	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	riExonStart_0base	riExonEnd	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	Event_Group	JuncType	Gene_Event_ID	Gene_Event_Type	DSE_Category
Event_1	a3ss_jc	21	ENSG00000185917	SETD4	chr21	-							12,4,4	10,0,6	12,5,6	0,0,0	198	149	4.65236768776e-07	0.000136250931873808	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	Control_vs_shRYBP	36058815	36058973	36058815	36058924	36059821	36060242							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_1	a3ss_jc	20	ENSG00000185917	SETD4	chr21	-							12,4,4	10,0,6	6,12,13	0,0,0	198	149	3.82637454277e-07	0.00011000887905515	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	Control_vs_shRING1A.B	36058815	36058973	36058815	36058924	36059821	36060242							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_1	a3ss_jcec	21	ENSG00000185917	SETD4	chr21	-							12,4,4	10,0,6	12,5,6	0,0,0	198	149	4.65236768776e-07	0.000136673874390877	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	Control_vs_shRYBP	36058815	36058973	36058815	36058924	36059821	36060242							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_1	a3ss_jcec	20	ENSG00000185917	SETD4	chr21	-							12,4,4	10,0,6	6,12,13	0,0,0	198	149	3.82637454277e-07	9.75075781420184e-05	0.475,1.0,0.334	1.0,1.0,1.0	-0.397	Control_vs_shRING1A.B	36058815	36058973	36058815	36058924	36059821	36060242							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_10	a3ss_jc	453	ENSG00000167460	TPM4	chr19	+							26,13,13	3,4,0	2,7,17	0,0,0	254	149	0.000464707379787	0.01740761423237	0.836,0.656,1.0	1.0,1.0,1.0	-0.169	Control_vs_shRYBP	16080914	16081075	16081019	16081075	16077020	16077130							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	
Event_10	a3ss_jc	459	ENSG00000167460	TPM4	chr19	+							2,7,17	0,0,0	14,10,24	0,10,4	254	149	9.44653937796e-06	0.00130864826591301	1.0,1.0,1.0	1.0,0.37,0.779	0.284	shRYBP_vs_shRING1A.B	16080914	16081075	16081019	16081075	16077020	16077130							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	
Event_10	a3ss_jcec	453	ENSG00000167460	TPM4	chr19	+							26,13,13	3,4,0	2,7,17	0,0,0	254	149	0.000464707379787	0.0169683830257818	0.836,0.656,1.0	1.0,1.0,1.0	-0.169	Control_vs_shRYBP	16080914	16081075	16081019	16081075	16077020	16077130							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	
Event_10	a3ss_jcec	459	ENSG00000167460	TPM4	chr19	+							2,7,17	0,0,0	14,10,24	0,10,4	254	149	9.44653937796e-06	0.00125979049144475	1.0,1.0,1.0	1.0,0.37,0.779	0.284	shRYBP_vs_shRING1A.B	16080914	16081075	16081019	16081075	16077020	16077130							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	
Event_100	a3ss_jc	5765	ENSG00000141013	GAS8	chr16	+							13,13,24	63,21,56	10,3,4	48,30,67	272	149	0.000159942963035	0.00880779923790175	0.102,0.253,0.19	0.102,0.052,0.032	0.12	Control_vs_shRYBP	90031175	90031496	90031298	90031496	90027635	90027722							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control
Event_100	a3ss_jcec	5765	ENSG00000141013	GAS8	chr16	+							13,13,24	63,21,56	10,3,4	48,30,67	272	149	0.000159942963035	0.00813945960704886	0.102,0.253,0.19	0.102,0.052,0.032	0.12	Control_vs_shRYBP	90031175	90031496	90031298	90031496	90027635	90027722							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control
Event_1000	mxe_jc	5142	ENSG00000115977	AAK1	chr2	-			69480859	69480961	69505568	69505673	7,2,12	6,2,2	0,0,2	10,4,7	245	251	8.2843406024e-08	8.98495912191726e-05	0.544,0.506,0.86	0.0,0.0,0.226	0.561	Control_vs_shRING1A.B									69482710	69482812	69495984	69496080	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
Event_1000	mxe_jc	5216	ENSG00000115977	AAK1	chr2	-			69480859	69480961	69505568	69505673	5,4,4	0,4,2	0,0,2	10,4,7	245	251	1.72867319126e-07	0.00016826472675427	1.0,0.506,0.672	0.0,0.0,0.226	0.651	shRYBP_vs_shRING1A.B									69482710	69482812	69495984	69496080	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
Event_1000	mxe_jcec	5142	ENSG00000115977	AAK1	chr2	-			69480859	69480961	69505568	69505673	7,2,12	6,2,2	0,0,2	10,4,7	245	251	8.2843406024e-08	9.93174509090284e-05	0.544,0.506,0.86	0.0,0.0,0.226	0.561	Control_vs_shRING1A.B									69482710	69482812	69495984	69496080	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Same Direction
Event_1000	mxe_jcec	5216	ENSG00000115977	AAK1	chr2	-			69480859	69480961	69505568	69505673	5,4,4	0,4,2	0,0,2	10,4,7	245	251	1.72867319126e-07	0.000217520924620651	1.0,0.506,0.672	0.0,0.0,0.226	0.651	shRYBP_vs_shRING1A.B									69482710	69482812	69495984	69496080	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Same Direction
Event_1001	mxe_jc	5149	ENSG00000131061	ZNF341	chr20	+			33740901	33741012	33753171	33753423	12,13,20	2,3,3	5,6,8	4,6,14	298	298	1.67889829645e-05	0.00374888113724953	0.857,0.812,0.87	0.556,0.5,0.364	0.373	Control_vs_shRING1A.B									33745102	33745299	33748922	33749072	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1002	mxe_jc	5189	ENSG00000283761	AC118553.2	chr1	+			100011364	100011533	100049908	100050004	23,27,25	2,0,2	7,21,35	8,4,6	268	298	0.000336802016451	0.0255700090889599	0.927,1.0,0.933	0.493,0.854,0.866	0.216	Control_vs_shRING1A.B									100015301	100015420	100043072	100043229	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1003	mxe_jc	5193	ENSG00000148737	TCF7L2	chr10	+			112964555	112964624	113143922	113144025	1,0,1	22,17,35	6,9,4	38,48,49	251	282	6.34518914808e-05	0.00845134666881112	0.049,0.0,0.031	0.151,0.174,0.084	-0.11	Control_vs_shRING1A.B									113040024	113040126	113141183	113141316	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1003	mxe_jcec	5193	ENSG00000148737	TCF7L2	chr10	+			112964555	112964624	113143922	113144025	1,0,1	22,17,35	6,9,4	38,48,49	251	282	6.34518914808e-05	0.00864192100578682	0.049,0.0,0.031	0.151,0.174,0.084	-0.11	Control_vs_shRING1A.B									113040024	113040126	113141183	113141316	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1004	mxe_jc	5209	ENSG00000182551	ADI1	chr2	-			3497360	3499082	3519367	3519736	413,367,485	251,246,377	356,317,443	385,327,446	269	298	4.30871922837e-05	0.00689150370484861	0.646,0.623,0.588	0.506,0.518,0.524	0.103	Control_vs_shRING1A.B									3500813	3500993	3513856	3513976	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
