JuncType	Event_ID	Event_Group	chr	strand	GeneID	geneSymbol	Gene_Event_ID	Gene_Event_Type	DSE_Category	Control_vs_shRING1A.B	Control_vs_shRYBP	shRYBP_vs_shRING1A.B
JC	Event_622	Alternative 3' Splice Site	chr20	-	ENSG00000000419	DPM1	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.214		
JCEC	Event_622	Alternative 3' Splice Site	chr20	-	ENSG00000000419	DPM1	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.214		
JC	Event_72	Alternative 5' Splice Site	chr1	-	ENSG00000000457	SCYL3	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		-0.171	
JCEC	Event_72	Alternative 5' Splice Site	chr1	-	ENSG00000000457	SCYL3	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		-0.171	
JC	Event_4141	Skipped Exon	chr1	-	ENSG00000001460	STPG1	1	Skipped Exon_1				0.107
JCEC	Event_4141	Skipped Exon	chr1	-	ENSG00000001460	STPG1	1	Skipped Exon_1				0.107
JC	Event_3505	Skipped Exon	chr3	+	ENSG00000001617	SEMA3F	1	Skipped Exon_1	Same Direction	0.121		0.121
JCEC	Event_3505	Skipped Exon	chr3	+	ENSG00000001617	SEMA3F	1	Skipped Exon_1	Same Direction	0.121		0.121
JC	Event_4336	Skipped Exon	chr7	-	ENSG00000001631	KRIT1	1	Skipped Exon_1				0.339
JC	Event_4337	Skipped Exon	chr7	-	ENSG00000001631	KRIT1	2	Skipped Exon_2				-0.194
JCEC	Event_4336	Skipped Exon	chr7	-	ENSG00000001631	KRIT1	1	Skipped Exon_1				0.339
JC	Event_2865	Skipped Exon	chr12	-	ENSG00000002016	RAD52	1	Skipped Exon_1			0.379	-0.397
JC	Event_2866	Skipped Exon	chr12	-	ENSG00000002016	RAD52	2	Skipped Exon_2			0.246	-0.252
JCEC	Event_2865	Skipped Exon	chr12	-	ENSG00000002016	RAD52	1	Skipped Exon_1			0.379	-0.397
JCEC	Event_2866	Skipped Exon	chr12	-	ENSG00000002016	RAD52	2	Skipped Exon_2			0.246	-0.252
JC	Event_1006	Mutually Exclusive Exon	chr7	-	ENSG00000002822	MAD1L1	1	Mutually Exclusive Exon_1	Same Direction	0.154		0.177
JCEC	Event_1006	Mutually Exclusive Exon	chr7	-	ENSG00000002822	MAD1L1	1	Mutually Exclusive Exon_1	Same Direction	0.154		0.177
